date,code,name,op,categ,quantity,price,amounts
20230823,519702.OF,交银趋势,B,F,,,-599.1
20230823,166301.OF,华商趋势,B,F,,,-3367.83
20230824,519702.OF,交银趋势,B,F,,,-698.95
20230824,001300.OF,大成睿景,B,F,,,-698.95
20230824,004475.OF,华泰柏瑞,B,F,,,-499.25
20230824,166301.OF,华商趋势,B,F,,,-698.95
20230824,001322.OF,东吴趋势,B,F,,,-499.25
20230825,004475.OF,华泰柏瑞,B,F,,,-4197.87
20230830,519702.OF,交银趋势,B,F,,,-599.1
20230831,519702.OF,交银趋势,B,F,,,-599.1
20230831,166301.OF,华商趋势,B,F,,,-998.5
20230831,001322.OF,东吴趋势,B,F,,,-599.1
20230831,004475.OF,华泰柏瑞,B,F,,,-998.5
20230906,519702.OF,交银趋势,B,F,,,-499.25
20230907,004475.OF,华泰柏瑞,B,F,,,-998.5
20230907,001322.OF,东吴趋势,B,F,,,-599.1
20230907,166301.OF,华商趋势,B,F,,,-998.5
20230907,519702.OF,交银趋势,B,F,,,-499.25
20230907,001300.OF,大成睿景,B,F,,,-998.5
20230913,519702.OF,交银趋势,B,F,,,-499.25
20230914,166301.OF,华商趋势,B,F,,,-998.5
20230914,004475.OF,华泰柏瑞,B,F,,,-998.5
20230914,519702.OF,交银趋势,B,F,,,-499.25
20230914,001322.OF,东吴趋势,B,F,,,-698.5
20230914,001300.OF,大成睿景,B,F,,,-998.5
20231023,510310.SH,HS300ETF,B,S,5900,,-10018.8
20231214,510310.SH,HS300ETF,B,S,6200,,-10212.01
20231221,510310.SH,HS300ETF,B,S,9300,,-15020.4
20240117,159605.SZ,中概互联,B,S,15100,,-10072.3
20240205,510310.SH,HS300ETF,B,S,3000,,-4689.28
20240205,159605.SZ,中概互联,B,S,4000,,-2648.16
20240205,159605.SZ,中概互联,B,S,3000,,-1986.12
20240206,510310.SH,HS300ETF,B,S,1900,,-2977.48
20240208,510310.SH,HS300ETF,B,S,2400,,-3938.64
20240208,510310.SH,HS300ETF,B,S,2400,,-3914.63
